city,latitude,longitude
Hawaii,19.5872677,-155.4268897
Hanalei,22.2029937,-159.4956949
Hilo,19.7073734,-155.0815803
Honaunau,19.425801,-155.908356
Honolulu,21.304547,-157.855676
Kahului,19.6669118,-154.9807112
Kaneohe,21.40929,-157.80092
Kapaa,22.07521,-159.31895
Kawaihae,20.039805,-155.828018
Lahaina,38.7667818,-76.742746
Laie,21.643463,-157.9281979
Wahiawa,21.5201646,-158.0061151
Wailuku,20.89111,-156.50472
Waimea,-41.3164926,173.1274926
Anderson,31.7819242,-95.6258199
Bedford,52.1363806,-0.4675041
Bloomington,39.1670396,-86.5342881
Columbus,39.9622601,-83.0007065
Connersville,39.6411589,-85.1410748
Corydon,40.7569499,-93.3188229
Crawfordsville,40.0401991,-86.8990249
East Chicago,41.8755616,-87.6244212
Elkhart,41.6819935,-85.9766671
Elwood,41.4039201,-88.1117242
Evansville,37.9747645,-87.5558483
Fort Wayne,41.0799898,-85.1386015
French Lick,38.5502547,-86.6199659
Gary,41.6021292,-87.3371372
Geneva,46.2017559,6.1466014
Goshen,41.5824086,-85.834366
Greenfield,42.6097476,-72.5979752
Hammond,41.5833658,-87.500043
Hobart,-42.8825088,147.3281233
Huntington,38.4192496,-82.445154
Indianapolis,39.7683331,-86.1583502
Jeffersonville,38.2770227,-85.7371604
Kokomo,40.4864444,-86.1336351
Lafayette,30.2240897,-92.0198427
Madison,43.074761,-89.3837613
Marion,32.7931661,-94.344488
Michigan City,41.7075394,-86.8950297
Mishawaka,41.6611642,-86.1807031
Muncie,40.1936892,-85.3865271
Nappanee,41.4427856,-86.0013699
Nashville,36.1622767,-86.7742984
New Albany,38.2856247,-85.8241312
New Castle,40.9999202,-80.3471856
New Harmony,38.129656,-87.9354109
Peru,-6.8699697,-75.0458515
Plymouth,50.3712659,-4.1425658
Richmond,37.5385087,-77.43428
Santa Claus,32.1715776,-82.3315138
Shelbyville,38.2120144,-85.2235666
South Bend,41.6833813,-86.2500066
Terre Haute,39.4667025,-87.4139119
Valparaiso,-33.0458456,-71.6196749
Vincennes,48.8474508,2.4396714
Wabash,38.4615994,-87.8460903
West Lafayette,40.4258686,-86.9080655
Iowa,41.9216734,-93.3122705
Amana Colonies,41.813801,-91.9097303
Ames,50.536715,2.4086536
Boone,42.321246,-88.8235511
Burlington,44.4761601,-73.212906
Cedar Falls,42.5274123,-92.4453179
Cedar Rapids,41.9758872,-91.6704053
